alias,bpc,alloc_scheme,mode,bw,energy_per_bit,cer,ber
1bpc_bwa_1713_cb,1,bwa,cb,11530231.22283299,4.590087481957393e-10,0.0005432089786308048,0.0005432089786307497
1bpc_bwa_1713_lfsr,1,bwa,lfsr,12368650.313181452,3.9769472621906085e-10,0.00030796994395176913,0.00030796994395174306
1bpc_bwa_0_cb,1,bwa,cb,10940765.103580035,4.898130934413766e-10,0.00014205255717336662,0.0001420525571733132
1bpc_bwa_0_lfsr,1,bwa,lfsr,9790945.081512025,5.08499328568508e-10,0.0004613867056989518,0.00046138670569892133
1bpc_pba_1291_cb,1,pba,cb,1256133.2523676904,3.771400041413196e-09,0.002051238925582677,0.0020512389255826426
1bpc_pba_1291_lfsr,1,pba,lfsr,1284169.2194697727,3.6352335262540397e-09,0.002637631881594049,0.0026376318815940795
2bpc_pba_1707_cb,2,pba,cb,1498273.7649217877,3.121231986761858e-09,0.0011705716026148005,0.0005852858013074035
2bpc_pba_1707_lfsr,2,pba,lfsr,1505727.0236787617,3.071734070827674e-09,0.0013728645591831734,0.0006875687568756876
2bpc_bwa_11390_cb,2,bwa,cb,4573430.389845969,1.0426245932564846e-09,0.005205065961141564,0.002602532980570784
2bpc_bwa_11390_lfsr,2,bwa,lfsr,3829344.556059725,1.201652380096828e-09,0.004705015956141034,0.0023570538872069026
2bpc_bwa_2011_cb,2,bwa,cb,2413820.8575967164,1.944959579425579e-09,0.0025388902526616297,0.001270581603614907
2bpc_bwa_2011_lfsr,2,bwa,lfsr,2205704.854093824,2.076946963913755e-09,0.002745729118366347,0.001374001036467283
